fonKodu,yonetimUcretiYillik,ictuzukYonetimUcretiYillik,yonetimUcretiGunluk,performansUcreti,girisKomisyonu,cikisKomisyonu,tarih,kaynak
AZZ,"0,10","0,5","0,000274",,,,2026-09-11,KAP genel bilgiler
BA1,"0,10",,"0,000273972",,,,2026-09-11,KAP genel bilgiler
BAC,"1,50",,"0,004109",,0,0,2026-09-11,KAP genel bilgiler
BAG,"2,5",,"0,006849",,,,2026-09-11,KAP genel bilgiler
BAI,"1,72","1,72","0,0048",,,,2026-09-11,KAP genel bilgiler
BBO,"0,1",,"0,000273",,,,2026-09-11,KAP genel bilgiler
BBP,"1,75",,"0,00480",,,,2026-09-11,KAP genel bilgiler
BBS,"2,75","2,75","0,007534",,,,2026-09-11,KAP genel bilgiler
BCC,"0,184","0,184","0,000503",,,,2026-09-11,KAP genel bilgiler
BCK,"2,50","2,50","0,00685",,,,2026-09-11,KAP genel bilgiler
BCO,"2,25","2,25","0,00616",,,,2026-09-11,KAP genel bilgiler
BDA,"0,5",,"0,0013698",,,,2026-09-11,KAP genel bilgiler
BDC,"0,7","0,7","0,001917",,,,2026-09-11,KAP genel bilgiler
BDE,,,,,,,2026-09-11,KAP genel bilgiler
BDI,1,,"0,00274",10,,,2026-09-11,KAP genel bilgiler
BDO,"1,25","1,25","0,00342",,,,2026-09-11,KAP genel bilgiler
BDS,1,,"0,00274",,,,2026-09-11,KAP genel bilgiler
BDY,"3,3","3,3","0,00904",,,,2026-09-11,KAP genel bilgiler
