tarih,fonKodu,fonUnvan,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-15,AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,65.388372,1237,4501040921.45,68835494
2026-09-15,AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,62.577052,259,407814148.48,6516992
2026-09-15,AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,0.563078,9234,285192834.62,506489339
2026-09-15,AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),53.831061,20713,8347568358,155069734
2026-09-15,AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,0.528825,13369,1040291984.23,1967177730
2026-09-15,AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.99587,18255,2580881167.39,2591584900
2026-09-15,AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,4.092808,12,1303747763.36,318546011
2026-09-15,AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,54.765162,2336,13636547929.74,249000411
2026-09-15,AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,4.002919,12,5710536959.76,1426593054
2026-09-15,AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,3.859604,115,9697440732.57,2512548071
2026-09-15,ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.380875,24888,1663205350.99,4366800345
2026-09-15,ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,13.854329,150709,94084035938.89,6790948606
2026-09-15,AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,117.657798,2849,1447240954.34,12300425.248
2026-09-15,ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,38.456207,3603,757659541.25,19701879
2026-09-15,ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,0,156,0,0
