tarih,fonKodu,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-04,FBC,1.924935,5726,161401568.48,83847781
2026-09-04,FBI,53.507258,4998,16953516602.81,316845178
2026-09-04,FBN,5.534381,417,2360998105.06,426605660
2026-09-04,FBV,7.694032,1937,647685370.95,84180226
2026-09-04,FBZ,4.763869,402,297566296.05,62463160
2026-09-04,FCK,1.752327,554,283941282.9,162036681
2026-09-04,FCS,2.368877,179,2261538565.27,954688244
2026-09-04,FD1,2.034265,139,19399044.79,9536144
2026-09-04,FDE,48.347264,881,4421840732.55,91460000
2026-09-04,FDG,2.67359,767,53503499.83,20011857
2026-09-04,FDO,61.930842,1,293388880.66,4737363
2026-09-04,FDV,6.011883,1,1472911327.61,245000000
2026-09-04,FDZ,0.302308,11,222900816.29,737329526
2026-09-04,FFD,0.051761,640,615811549.88,11897245186
2026-09-04,FFF,65.291282,1,1074875949.58,16462779
2026-09-04,FFH,8.766535,2166,1687080012.71,192445468
2026-09-04,FFO,59.260631,7,106779005.89,1801854
2026-09-04,FFP,7.802984,2394,2000249090.3,256344137
2026-09-04,FHI,1.390053,11,68076557.09,48974090
2026-09-04,FHP,3.452986,48,11273374915.09,3264819101
2026-09-04,FHZ,65.346879,3,743171038.16,11372709
2026-09-04,FI3,811.717601,9748,1768885909.19,2179188.804
2026-09-04,FI5,753.043939,53749,121968466504.39,161967264
2026-09-04,FIB,0.511916,12425,5133641456.81,10028296666.58
2026-09-04,FID,1.038625,1679,865680828.84,833487687
2026-09-04,FIL,0.37712,21186,14277036788.46,37858049221
2026-09-04,FIT,0.235749,608,261124574.91,1107638470
2026-09-04,FJB,7.251168,740,404426992.45,55774046
2026-09-04,FJC,60.69298,96,1295231354.15,21340711
2026-09-04,FJM,58.320391,1646,7888259333.45,135257313
2026-09-04,FJN,58.099278,1268,4930956761.46,84871223
2026-09-04,FJZ,66.644919,809,1499354195,22497652
2026-09-04,FKE,59.91305,12173,49228559758.46,821666727
2026-09-04,FKV,48.451619,475,2320348018.79,47890000.01
2026-09-04,FLS,62.922208,2341,4182476819.97,66470598
2026-09-04,FLY,1.585285,2262,105864158.95,66779243
2026-09-04,FMG,3.443992,10309,12663171288.21,3676887735
2026-09-04,FMS,55.242748,1,610516166.01,11051517
2026-09-04,FMV,1.44078,32,165537123.49,114894110
2026-09-04,FNN,0,1,0,0
2026-09-04,FNO,0.206724,6542,10825886816.75,52368724685.035
2026-09-04,FNT,2.138902,1783,524709611,245317286
2026-09-04,FP4,0.646768,128,107822165.28,166709096
2026-09-04,FPE,76.966372,1423,339940376.73,4416739
2026-09-04,FPG,2.257955,2041,828965271.91,367130964
2026-09-04,FPH,34.667947,4498,1262143928.46,36406653
2026-09-04,FPI,2.679971,219,70933104.87,26467864
2026-09-04,FPK,0.099551,1192,297670239.69,2990129228
2026-09-04,FPR,10.863183,31,163864628.83,15084403
2026-09-04,FPZ,69.730193,19450,134808297963.3,1933284462
2026-09-04,FR1,0.816903,20,216803120.73,265396484
2026-09-04,FRA,31.900916,2,521459462.79,16346222
2026-09-04,FRC,1.519183,203,65361569.62,43024169
